encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1877.3333333333333,5.0,512,4,768.0,2.0,2.0,2.0,0.32070279121398926,14.590337872505188,0.01062096401231328,0.07692882748942825
640,6,1194.6666666666667,3.6666666666666665,512,1,2048.0,8.0,2.0,1.0,0.3109574317932129,14.465942978858948,0.008699215715921147,0.1280385455676839
640,6,1621.3333333333333,7.333333333333333,512,3,2730.6666666666665,4.0,2.6666666666666665,1.0,0.3146529197692871,15.161067247390747,0.010945042372484177,0.0857785547974497
512,6,1450.6666666666667,5.666666666666667,640,3,2048.0,4.0,4.0,1.6666666666666667,0.30694901943206787,14.988616108894348,0.0075361434981494274,0.1364240614545084
512,6,1450.6666666666667,5.666666666666667,512,3,2048.0,4.666666666666667,6.666666666666667,2.3333333333333335,0.3034919500350952,14.553472399711609,0.00587670891120317,0.13261348242550763
640,6,1194.6666666666667,5.666666666666667,640,2,1536.0,3.0,6.0,2.0,0.3078579902648926,14.571741223335266,0.006798327165377945,0.08444031298650381
640,6,1450.6666666666667,5.333333333333333,640,5,1638.4,2.8,5.2,2.2,0.3151148557662964,14.922738075256348,0.008662061792369197,0.12098835572862161
512,6,1792.0,6.333333333333333,512,5,1740.8,4.8,3.2,2.6,0.31432509422302246,14.790832996368408,0.009275323512816857,0.11002531472279463
512,6,2389.3333333333335,5.0,640,6,938.6666666666666,4.333333333333333,4.666666666666667,2.0,0.31279027462005615,14.475002884864807,0.007787692415998363,0.11681187347840477
512,6,1621.3333333333333,5.666666666666667,512,1,1024.0,2.0,8.0,1.0,0.30988454818725586,17.424076795578003,0.007895534619132031,0.3323297352409063
640,6,1962.6666666666667,4.0,640,1,3072.0,2.0,2.0,1.0,0.3129541873931885,17.527133226394653,0.009838152432587186,0.14861843869847502
640,6,1706.6666666666667,4.0,512,1,3072.0,2.0,4.0,3.0,0.31282007694244385,17.49594509601593,0.010185409667266629,0.1259543239444668
640,6,1621.3333333333333,5.333333333333333,640,1,512.0,4.0,4.0,3.0,0.31979382038116455,17.451360821723938,0.015044882701513268,0.18260022221987773
512,6,1109.3333333333333,4.333333333333333,512,2,3072.0,3.0,6.0,2.5,0.3165304660797119,17.79833436012268,0.011805895767297014,0.18510060731141273
512,6,2218.6666666666665,5.333333333333333,512,1,1024.0,4.0,2.0,1.0,0.30897557735443115,17.81579852104187,0.009536917785446549,0.17204496114064122
512,6,2218.6666666666665,4.0,640,4,1280.0,4.0,6.0,1.75,0.3143399953842163,17.393454909324646,0.010843776800374216,0.2911739542741663
640,6,1536.0,5.666666666666667,512,3,1536.0,3.3333333333333335,4.0,2.0,0.31016767024993896,17.15509593486786,0.008774835697381366,0.11690915009836624
640,6,2048.0,4.333333333333333,512,5,2252.8,5.2,4.4,2.4,0.31313300132751465,17.208844423294067,0.010425830400412258,0.11938722191040903
512,6,1792.0,4.0,640,3,1706.6666666666667,3.3333333333333335,2.0,1.3333333333333333,0.32310187816619873,17.41190254688263,0.010619071827488615,0.11478892757050302
512,6,1024.0,3.3333333333333335,640,1,512.0,4.0,8.0,2.0,0.3123730421066284,17.32116937637329,0.010967649431353185,0.18995860021173253
512,6,2389.3333333333335,3.3333333333333335,512,1,512.0,8.0,4.0,3.0,0.308498740196228,17.34098792076111,0.008789803315676043,0.1588994069851081
512,6,1962.6666666666667,4.333333333333333,512,3,3072.0,6.666666666666667,4.666666666666667,1.3333333333333333,0.3078579902648926,17.199233174324036,0.007402743308767212,0.09084859394033319
640,6,1621.3333333333333,3.6666666666666665,640,4,2304.0,5.0,5.0,1.25,0.314861536026001,17.277345061302185,0.012189368453548972,0.13599849489836285
640,6,1706.6666666666667,5.666666666666667,640,5,1945.6,4.8,3.2,2.6,0.30684471130371094,17.19340682029724,0.0038100378071062296,0.10106061559817263
512,6,1536.0,4.666666666666667,512,5,1228.8,2.0,5.6,1.8,0.30541419982910156,17.28777587413788,0.004487402492694547,0.19795671182640717
512,6,1365.3333333333333,3.0,640,4,1024.0,7.0,6.5,2.0,0.3155022859573364,17.191946506500244,0.012053326295235825,0.10629630719265971
640,6,1194.6666666666667,4.666666666666667,512,3,2389.3333333333335,2.0,8.0,2.6666666666666665,0.3075599670410156,17.96552538871765,0.008473927594446139,0.389673778158656
640,6,1792.0,3.3333333333333335,512,3,1194.6666666666667,4.666666666666667,4.666666666666667,2.0,0.3059804439544678,14.20159637928009,0.006727078018139903,0.7945032475620007
512,6,1024.0,4.666666666666667,640,4,1408.0,3.0,4.0,2.5,0.3104358911514282,14.500558376312256,0.008080098837929638,0.2269065062287227
512,6,1450.6666666666667,4.333333333333333,640,2,1792.0,6.0,5.0,1.0,0.3107041120529175,15.117660164833069,0.00885493902877719,0.17114216521010842
640,6,2304.0,5.666666666666667,640,1,2048.0,4.0,4.0,2.0,0.3130882978439331,14.490336179733276,0.007291876797448155,0.06228020138556503
512,6,1280.0,5.333333333333333,512,2,768.0,4.0,6.0,2.0,0.3110617399215698,14.370188117027283,0.00811399356014574,0.12088572781514409
640,6,1792.0,4.666666666666667,512,6,1450.6666666666667,6.0,3.6666666666666665,2.1666666666666665,0.3146827220916748,14.785230159759521,0.008473875187745925,0.1707534093677118
512,6,1877.3333333333333,4.333333333333333,640,2,1024.0,5.0,4.0,2.0,0.30575692653656006,14.345988631248474,0.007265397290927243,0.07054868647148646
512,6,1109.3333333333333,5.333333333333333,640,2,1792.0,3.0,6.0,2.0,0.30937790870666504,14.39329981803894,0.009306678855033976,0.09002653167572175
512,6,1280.0,4.0,512,2,2048.0,5.0,3.0,1.5,
